unix,date,symbol,open,high,low,close,VolumeBTC,VolumeUSDT,tradecount
1617148800000,2021-03-31 00:00:00,BTC/USDT,58794.17,59920.00,56812.00,58807.24,337038.349,19776038991.85102,3429371
1617062400000,2021-03-30 00:00:00,BTC/USDT,57676.14,59560.00,57110.00,58794.16,232824.065,13629362092.38509,2568718
1616976000000,2021-03-29 00:00:00,BTC/USDT,55804.16,58490.11,54931.15,57677.64,277215.268,15858571872.53349,3043409
1616889600000,2021-03-28 00:00:00,BTC/USDT,55828.00,56588.31,54694.91,55805.08,200603.768,11188756872.79973,2260517
1616803200000,2021-03-27 00:00:00,BTC/USDT,55030.00,56658.76,54001.00,55828.00,234435.346,12939134315.65276,2589316
1616716800000,2021-03-26 00:00:00,BTC/USDT,51325.21,55123.00,51260.00,55030.00,271957.842,14483003307.72439,2948225
1616630400000,2021-03-25 00:00:00,BTC/USDT,52307.89,53255.20,50452.08,51325.21,416848.091,21627711387.30238,4302154
1616544000000,2021-03-24 00:00:00,BTC/USDT,54400.00,57234.79,51666.00,52311.54,394172.526,21637316948.63563,4140709
1616457600000,2021-03-23 00:00:00,BTC/USDT,54129.56,55890.68,52981.40,54400.00,276199.041,15088688822.77058,3202573
1616371200000,2021-03-22 00:00:00,BTC/USDT,57415.19,58500.00,53635.81,54129.56,293062.947,16556509289.78695,3557593
1616284800000,2021-03-21 00:00:00,BTC/USDT,58144.44,58638.70,55403.55,57415.18,237518.696,13576194106.98524,2940088
1616198400000,2021-03-20 00:00:00,BTC/USDT,58089.11,59948.00,57881.00,58145.61,203680.149,12000524068.54844,2543381
1616112000000,2021-03-19 00:00:00,BTC/USDT,57700.01,59550.00,56301.27,58089.11,259039.479,15107378224.02806,3136922
1616025600000,2021-03-18 00:00:00,BTC/USDT,58959.01,60510.00,57072.00,57700.01,305100.026,17876750420.56641,3505186
1615939200000,2021-03-17 00:00:00,BTC/USDT,56953.23,59078.79,54154.93,58959.00,339397.712,19076274044.57065,3916228
1615852800000,2021-03-16 00:00:00,BTC/USDT,55646.61,56988.00,53335.00,56954.19,339718.202,18756792660.06864,4041818
1615766400000,2021-03-15 00:00:00,BTC/USDT,59037.11,60740.00,54517.28,55646.61,448820.830,25683051451.71488,4839296
1615680000000,2021-03-14 00:00:00,BTC/USDT,61267.41,61798.00,59005.00,59037.12,231991.901,14012489135.14827,2783273
1615593600000,2021-03-13 00:00:00,BTC/USDT,57291.04,61950.00,56136.00,61267.41,320322.173,18993462517.01946,3901445
1615507200000,2021-03-12 00:00:00,BTC/USDT,57842.64,58186.33,55074.30,57291.03,335495.042,19043301948.53840,4054963
1615420800000,2021-03-11 00:00:00,BTC/USDT,55949.30,58283.00,54356.44,57844.52,364681.318,20569039537.45370,4355363
1615334400000,2021-03-10 00:00:00,BTC/USDT,54917.78,57500.92,53061.00,55947.98,401159.493,22279865576.81882,4457083
1615248000000,2021-03-09 00:00:00,BTC/USDT,52429.43,54950.00,51880.00,54917.78,285604.798,15409273884.44570,3312320
1615161600000,2021-03-08 00:00:00,BTC/USDT,50991.35,52450.00,49310.00,52429.43,308339.866,15655716338.59208,3279581
1615075200000,2021-03-07 00:00:00,BTC/USDT,48908.21,51480.00,48908.21,50995.27,248398.116,12500440245.10043,2883079
1614988800000,2021-03-06 00:00:00,BTC/USDT,48772.68,49253.63,47090.00,48908.21,215092.910,10381734354.30114,2557063
1614902400000,2021-03-05 00:00:00,BTC/USDT,48385.77,49470.00,46320.00,48770.57,354602.756,16912469978.52838,3864290
1614816000000,2021-03-04 00:00:00,BTC/USDT,50373.75,51800.00,47500.00,48385.77,387428.957,19138827120.97486,4199301
1614729600000,2021-03-03 00:00:00,BTC/USDT,48454.21,52681.51,48110.66,50373.75,350311.234,17795826816.36179,3781970
1614643200000,2021-03-02 00:00:00,BTC/USDT,49594.99,50221.77,47058.06,48450.57,273100.435,13251422043.06818,2970983
1614556800000,2021-03-01 00:00:00,BTC/USDT,45162.64,49800.00,44972.49,49592.70,315659.931,15061638936.44410,3611436
1614470400000,2021-02-28 00:00:00,BTC/USDT,46097.09,46678.00,43002.05,45163.36,370358.825,16549302262.98406,4080209
1614384000000,2021-02-27 00:00:00,BTC/USDT,46313.12,48476.05,44926.77,46102.63,256027.074,12038528819.38199,2956397
1614297600000,2021-02-26 00:00:00,BTC/USDT,47087.97,48438.01,44100.00,46313.13,440670.320,20499678357.29738,4687978
1614211200000,2021-02-25 00:00:00,BTC/USDT,49702.05,52134.96,46685.43,47089.37,349943.016,17447887799.89135,3922104
1614124800000,2021-02-24 00:00:00,BTC/USDT,48930.01,51435.58,47000.00,49702.03,333415.219,16590055728.58514,3748411
1614038400000,2021-02-23 00:00:00,BTC/USDT,54125.55,54260.12,44893.82,48930.00,748737.462,36297078764.52196,8009736
1613952000000,2021-02-22 00:00:00,BTC/USDT,57475.50,57591.87,47751.42,54121.10,480660.187,25951996709.77277,4903878
1613865600000,2021-02-21 00:00:00,BTC/USDT,55908.45,58472.14,55564.50,57487.43,196820.573,11254047090.53712,2277504
1613779200000,2021-02-20 00:00:00,BTC/USDT,56005.85,57699.00,53905.00,55917.41,240296.308,13529409884.87238,2830372
1613692800000,2021-02-19 00:00:00,BTC/USDT,51612.46,56582.00,50800.00,56004.10,257911.872,13784775685.92855,2913704
1613606400000,2021-02-18 00:00:00,BTC/USDT,52194.62,52640.00,50948.00,51619.70,185489.890,9627115933.97444,2199927
1613520000000,2021-02-17 00:00:00,BTC/USDT,49197.93,52800.00,49029.62,52194.62,312007.458,15897490858.65766,3332737
1613433600000,2021-02-16 00:00:00,BTC/USDT,47981.60,50953.44,47101.02,49197.94,343592.011,16865499630.28187,3477742
1613347200000,2021-02-15 00:00:00,BTC/USDT,48655.21,49100.00,45349.21,47981.58,248960.404,11872149326.83184,2721739
1613260800000,2021-02-14 00:00:00,BTC/USDT,47221.63,49875.16,47093.16,48655.21,241935.666,11797051402.90574,2598883
